county,coordinates,percpopbroad,percpopwobroad,pctdsgt15000kandlt25000k_hi,pctdsgt25000kandlt50000k_hi,pctdsgt50000kandlt100000k_hi,pctdsgt100000kandlt1gig_hi,pctdsgt1gig_hi,dsgteq25,usgteq3,povpct,unemployment,,,,,,
Benton County,  (-92.06463572992207 42.0801173885655),71.6,28.4,28.4,8.3,26.7,35.1,1.4,71.6,73.5,8.8,5,,,,,,
Washington County,  (-72.6150231361432 44.273094447966216),90.4,9.6,9.6,8.6,5,76.6,0.1,90.4,100,11,4.3,,,,,,
Alachua County,  (-82.35823348340949 29.674973548775682),85.5,14.5,14.5,7.1,0,70.2,8.1,85.5,85.5,21.6,5.4,,,,,,
Seminole County,  (-96.615461829163 35.16720740192798),42.7,57.3,57.3,0,0,29.7,13,42.7,43.3,24.7,7.4,,,,,,
Koochiching County,  (-93.78362728757055 48.24510753782557),73.4,26.6,26.6,0,6.8,66.6,0,73.4,73.4,15.3,8.7,,,,,,
Burlington County,  (-74.668004497489 39.877821332306446),96.3,3.7,3.7,0,0,96.3,0,96.3,96.3,7.2,7.9,,,,,,
McDuffie County,  (-82.48183290436012 33.483133455300006),87.7,12.3,12.3,0,0,87.7,0,87.7,100,27.6,9.3,,,,,,
DeKalb County,  (-88.7697999503297 41.8933690956486),87.2,12.8,12.8,1.6,0,85.5,0,87.2,100,14.7,8.3,,,,,,
Perry County,  (-88.99252730196551 31.17209382300068),4.4,95.6,95.6,0,3.9,0.5,0,4.4,100,22.6,9.1,,,,,,
Caldwell County,  (-87.86831992778352 37.14556161247329),65.9,34.1,34.1,0,2.6,63.3,0,65.9,100,18.2,7,,,,,,
Berkeley County,  (-78.02743989673493 39.464080482427526),92.8,7.2,7.2,0,0,92.8,0,92.8,100,13.2,6,,,,,,
Utah County,  (-111.67028399013323 40.119802623663155),98.4,1.6,1.5,1.4,2.1,59.6,35.4,98.5,100,12.6,4.3,,,,,,
Hartley County,  (-102.6029351856529 35.840083445543634),43.9,56.1,56.1,43.9,0,0,0,43.9,43.9,10.5,4.4,,,,,,
Greene County,  (-83.88969072506757 39.69132786423673),96.1,3.9,3.9,0,96.1,0,0,96.1,99.6,13.2,7.2,,,,,,
Windsor County,  (-72.58619896087924 43.57967872296706),82.8,17.2,17.2,0.1,0,52.1,30.7,82.8,100,12.1,4,,,,,,
Montgomery County,  (-95.5033161315523 30.300198886633343),84.2,15.8,14,12.6,0,52.2,21.2,86,85.3,10.9,5.4,,,,,,
Rapides Parish,  (-92.53365885773238 31.198100874410926),80.8,19.2,17.3,1.9,0.1,46.8,34,82.7,100,19.8,6.3,,,,,,
Jefferson County,  (-91.9486220439646 41.03165464905671),87.7,12.3,12.3,19.9,0,67.6,0.1,87.7,100,16.9,5.6,,,,,,
Brunswick County,  (-77.85881452986423 36.76457632501423),23.8,76.2,72.9,3.3,0,23.8,0,27.1,100,21.9,10,,,,,,
New Haven County,  (-72.93235203690548 41.410728329144966),99.2,0.8,0.8,0,0.2,99,0,99.2,100,13,8.6,,,,,,
Newberry County,  (-81.59990705145069 34.28974754374702),61.2,38.8,38.4,0.4,3.8,57.4,0,61.6,100,19.4,7,,,,,,
Stewart County,  (-87.83755714742057 36.50150067960569),64.4,35.6,35.6,0,0,64.4,0,64.4,100,17.5,9.7,,,,,,
Sacramento County,  (-121.34452120838664 38.44881724984261),97.7,2.3,2.3,2.3,0,71.1,24.3,97.7,98.6,18.1,8.8,,,,,,
Colbert County,  (-87.80463370904009 34.700852837275015),77.1,22.9,22.9,0.3,0.1,76.7,0,77.1,100,16.7,6.8,,,,,,
Whatcom County,  (-121.72095245684018 48.82595321391962),99.7,0.3,0.3,9.3,0.1,90.3,0.1,99.7,99.7,15.7,6.9,,,,,,
Olmsted County,  (-92.40209709017165 44.00380771497868),93.7,6.3,6.2,1.9,0.2,91,0.7,93.8,97.4,9.8,4.1,,,,,,
Louisa County,  (-91.2595826203219 41.21843405473492),69.2,30.8,30.8,14.7,0.4,53.8,0.4,69.2,71.7,11.1,5,,,,,,
Pottawattamie County,  (-95.54290276642462 41.336613456741354),85.2,14.8,12.9,3.4,0.1,83.5,0,87.1,89.3,12.3,4,,,,,,
Johnson County,  (-93.46000034500791 35.57001766342873),51.1,48.9,34.8,14.1,0,31.9,19.1,65.2,100,19.7,7.6,,,,,,
Lee County,  (-85.35522450837654 32.601061163771426),97.2,2.8,2.8,25.4,0.1,53.5,18.2,97.2,100,25.2,5.2,,,,,,
Laurens County,  (-82.92233434415292 32.463558237490574),64.1,35.9,35.9,0.9,0,63.1,0,64.1,100,25.4,10.5,,,,,,
Magoffin County,  (-83.06414673961213 37.706311599654605),85.6,14.4,14.4,0,85.6,0,0,85.6,100,30.2,17.6,,,,,,
Pinellas County,  (-82.73164012306903 27.92895177780203),87.8,12.2,12.2,0.1,21.3,66.5,0,87.8,87.8,15.2,7.1,,,,,,
Wayne County,  (-110.90333505979625 38.3244233291101),89.7,10.3,10.3,0,89.7,0,0,89.7,100,14.1,11.8,,,,,,
Curry County,  (-124.15609194792485 42.45776177043655),95.5,4.5,4.5,0,0,95.5,0,95.5,95.5,17.1,10.6,,,,,,
Jackson County,  (-91.21423884474227 35.59923756546911),70.9,29.1,27.2,5.4,4.7,37.8,24.8,72.8,100,25.1,10.2,,,,,,
St. Charles Parish,  (-90.35781295765456 29.90559493770094),97.2,2.8,2.8,0,0,97.2,0,97.2,100,12.1,5.8,,,,,,
Putnam County,  (-85.49633518197739 36.140803214599096),94.6,5.4,4.6,1,0.2,94,0.1,95.4,100,20.8,7.7,,,,,,
Bennington County,  (-73.09291531372308 43.035311255105206),89.3,10.7,10.7,0,0,89,0.2,89.3,100,14.4,5.1,,,,,,
Josephine County,  (-123.55525953135064 42.36551155062515),82.2,17.8,17.7,0.2,0.1,81.7,0.3,82.3,82.2,20.6,10.9,,,,,,
Cottle County,  (-100.27870868143977 34.0776734655447),0,100,100,0,0,0,0,0,0,20.9,6.1,,,,,,
Clearwater County,  (-95.37844017577022 47.578488374400735),3.5,96.5,96.5,0,3.5,0,0.1,3.5,80.9,17.8,11.2,,,,,,
Sherburne County,  (-93.77496918321701 45.444031720477554),92.3,7.7,7.4,16.8,0.6,75.2,0,92.6,92.4,7.2,5.6,,,,,,
Cass County,  (-97.24822333590558 46.932922370000824),95.5,4.5,4.3,0.3,39.5,54.9,1,95.7,100,11.3,3,,,,,,
Peach County,  (-83.8279049151439 32.56840678829888),83.2,16.8,16.8,5.4,42.7,35,0,83.2,100,21.7,10.7,,,,,,
Contra Costa County,  (-121.92812734655621 37.91933374515617),99.1,0.9,0.9,1.4,0,97.6,0,99.1,99.1,10.5,7.4,,,,,,
Potter County,  (-101.89396404427637 35.40133773307165),88.5,11.5,11.5,0.3,0,65.5,22.6,88.5,88.5,21.5,5.2,,,,,,
Perry County,  (-89.36728051785651 38.08436666192939),29,71,71,16.7,9.4,2.9,0,29,100,16.7,11.8,,,,,,
Stevens County,  (-117.85507133622302 48.39899156021954),100,0,0,42.8,0.1,57.1,0,100,100,19.3,10.9,,,,,,
Renville County,  (-101.65771384135803 48.71910480999137),77.7,22.3,17.3,49,0,33,0.7,82.7,100,7.7,2.7,,,,,,
Gwinnett County,  (-84.02400745878445 33.96142680273237),98.7,1.3,1.3,0,0,98.6,0,98.7,100,13.4,7.1,,,,,,
Briscoe County,  (-101.20849473109891 34.53026961662232),0,100,100,0,0,0,0,0,98.3,16.7,6.5,,,,,,
Pike County,  (-93.65620999675338 34.16356461453065),78.8,21.2,21.2,78.8,0,0,0,78.8,100,20,8.8,,,,,,
Anderson County,  (-82.6379311474315 34.51896680455415),94.7,5.3,5.3,0,0,94.7,0,94.7,100,16.7,6.8,,,,,,
Gallia County,  (-82.31692617516333 38.824760878744485),32.8,67.2,67.2,0,3.8,20.9,8.1,32.8,82.7,26.1,8.7,,,,,,
Huron County,  (-82.59842269330758 41.146517162395725),80,20,19.9,0,79.1,0.9,0,80.1,87.3,13.4,10.8,,,,,,
Bracken County,  (-84.08972895982922 38.68873502342999),94.2,5.8,5.8,94.2,0,0,0,94.2,100,18.6,9.2,,,,,,
Wasco County,  (-121.16784194555188 45.16003767875889),80.7,19.3,19.3,3.7,0,75.8,1.2,80.7,80.8,16.8,7.1,,,,,,
Greenville County,  (-82.37063973615635 34.89387815259188),99.1,0.9,0.9,0,0,99,0,99.1,100,14.7,6,,,,,,
Mower County,  (-92.75235163728496 43.67138759410151),96.2,3.8,3.8,22.6,0.1,73.5,0,96.2,96.3,12.1,4.4,,,,,,
Rockbridge County,  (-79.44774612050537 37.815054818811426),51.8,48.2,41.1,7.1,0.3,51.5,0,58.9,100,13,5.2,,,,,,
Florence County,  (-88.39761751364803 45.848097898271476),55,45,44.4,0.5,0,55,0,55.6,100,12.8,8.2,,,,,,
Blount County,  (-83.92484735794116 35.6873549758624),97.3,2.7,2.7,0,0,97.3,0,97.3,100,14.7,6.9,,,,,,
Houghton County,  (-88.68742993083812 46.898010751263314),86.8,13.2,13.2,0.6,0,86.2,0,86.8,86.8,18.7,9.3,,,,,,
Pacific County,  (-123.70572279959286 46.555479708715225),77.1,22.9,22.9,0,0,77.1,0,77.1,83.9,17.8,10.6,,,,,,
Wythe County,  (-81.07803316883619 36.916866769213414),74.2,25.8,23.7,2.1,21.8,52.4,0,76.3,100,15.6,7,,,,,,
Morgan County,  (-84.6490135771983 36.13501560821318),13.9,86.1,86.1,0,0,12.5,1.4,13.9,100,23.4,10.6,,,,,,
Kittitas County,  (-120.67971198726428 47.124485722380655),100,0,0,31.2,0.2,68.6,0,100,100,18.6,7.4,,,,,,
Pushmataha County,  (-95.37595260726042 34.41635816532578),0.5,99.5,99.5,0,0,0,0.5,0.5,0.5,23.1,7.6,,,,,,
Harrison County,  (-94.37105127423739 32.54840733508132),74.6,25.4,25.4,3.1,18.4,52.8,0.2,74.6,82.4,17.1,6.4,,,,,,
Haywood County,  (-82.98251028464779 35.55576194847427),86,14,14,0,0,86,0,86,100,15.2,7.2,,,,,,
Skagit County,  (-121.73192339694964 48.479678446025616),100,0,0,9.2,0,90.2,0.6,100,100,15.7,8.3,,,,,,
Murray County,  (-84.74799527723049 34.788616438012966),98.7,1.3,1.3,2.6,0,96.1,0,98.7,100,18.7,10.7,,,,,,
Hyde County,  (-99.48692011874266 44.54709825355881),100,0,0,0,0,100,0,100,100,10.1,3.4,,,,,,
Douglas County,  (-119.69170689035414 47.73589575879884),98.4,1.6,1.6,4.3,0,94.1,0,98.4,98.5,15.5,7,,,,,,
Clark County,  (-93.17667234988421 34.05108285492077),75.8,24.2,24.1,9.7,0,49.7,16.5,75.9,100,21.5,9,,,,,,
Island County,  (-122.54939209874854 48.16376088509917),100,0,0,4.7,0,95.3,0,100,100,10.3,7.7,,,,,,
Tillamook County,  (-123.7127607655797 45.46343846412307),78.7,21.3,21,0.3,0,78.7,0,79,78.7,17.5,7.2,,,,,,
Lexington city,  (-79.44575304952414 37.781798221194244),97.4,2.6,2.4,0.2,0,97.4,0,97.6,100,24.1,10.1,,,,,,
McIntosh County,  (-81.40719089374693 31.49489855259871),91.8,8.2,8.2,0,16.7,75.1,0,91.8,100,23.3,10.1,,,,,,
Taos County,  (-105.63097602024082 36.57834262169872),51.2,48.8,48,2.1,1,48.9,0,52,100,19.2,9,,,,,,
Sussex County,  (-75.38998106326024 38.66089141884185),93.4,6.6,6.6,0,0,93.4,0,93.4,100,13.9,6.7,,,,,,
Meriwether County,  (-84.68849214304154 33.041183108492675),54.4,45.6,45.6,4.6,0,49.8,0,54.4,100,23.6,11,,,,,,
Lincoln County,  (-114.87713513831619 37.64342468857804),51.8,48.2,48.2,0,0,48.2,3.6,51.8,100,15.1,12.3,,,,,,
Pecos County,  (-102.72342292992468 30.780768424737),59.3,40.7,40.7,0,0,59.3,0,59.3,87.2,17.8,4.9,,,,,,
Carter County,  (-82.12769739190297 36.292288763904764),92.3,7.7,4.5,3.3,0,92.3,0,95.5,100,24.6,8.6,,,,,,
Livingston County,  (-88.55786996648098 40.89167341785354),72.5,27.5,27.5,0,0,72.5,0,72.5,100,11.9,8.6,,,,,,
Pondera County,  (-112.22664037262115 48.227935016410285),2.4,97.6,97.6,0,2.4,0,0,2.4,100,20.3,5.7,,,,,,
Honolulu County,  (-157.9746934022234 21.458797062127502),99.9,0.1,0.1,0,63.5,36.5,0,99.9,99.9,9.8,4.3,,,,,,
Bossier Parish,  (-93.60428557342068 32.678827448287045),80.3,19.7,18.3,1.4,0,45.9,34.4,81.7,100,14.3,5.7,,,,,,
Ashland County,  (-90.67745057938697 46.334637250859736),69.4,30.6,24.4,9.2,3.1,50.2,13.1,75.6,100,14.9,9,,,,,,
Charlotte County,  (-81.91185512614567 26.905792744002756),90.4,9.6,6.4,3.4,2.1,88,0,93.6,90.4,11.9,7.2,,,,,,
Alleghany County,  (-80.00761322654336 37.78778326702402),68.7,31.3,31.3,0.3,1.7,66.7,0,68.7,100,15.8,7.4,,,,,,
Clinton County,  (-73.6782824833684 44.746067208388645),93.3,6.7,6.7,0,13,53.7,26.6,93.3,93.3,16.6,8.6,,,,,,
Bradford County,  (-82.16822072908349 29.949677636251224),54.6,45.4,41.7,15.5,0.4,42.4,0,58.3,54.6,22.6,5.7,,,,,,
Clay County,  (-88.78154438500215 33.65579797467559),62.3,37.7,37.7,0,0,62.3,0,62.3,100,28.4,18.2,,,,,,
Rice County,  (-93.29659859733191 44.3543277825525),97.7,2.3,1.5,13.8,0.4,84.4,0,98.5,99.8,13,5.5,,,,,,
Gentry County,  (-94.40962789886643 40.211706040399484),62.9,37.1,37.1,5.4,16.3,41.3,0,62.9,62.9,15.4,4.8,,,,,,
Davidson County,  (-86.78502875381153 36.16932462442953),96,4,4,0.1,0,93,2.9,96,100,19.9,6.5,,,,,,
Morgan County,  (-86.85325062110242 34.45331008939377),89.5,10.5,10.4,0.1,0.3,89.2,0,89.6,100,15,6,,,,,,
Santa Clara County,  (-121.69510158860591 37.23169964605432),100,0,0,4.7,0,95.1,0.2,100,100,8.5,6.8,,,,,,
Laurens County,  (-82.00535135003275 34.48372257998103),76.5,23.5,23,0.5,0,76.5,0,77,100,21.1,7.5,,,,,,
Pender County,  (-77.90598181703157 34.52447523295786),79.8,20.2,19.8,0.4,36.9,42.9,0,80.2,100,15.4,9.1,,,,,,
Whiteside County,  (-89.9136219117351 41.75598396071496),79.7,20.3,20.3,0,0,79.7,0,79.7,100,12.2,9.5,,,,,,
St. Louis County,  (-92.46951183375636 47.603346561903386),80.9,19.1,18.6,1.8,0.8,78.9,0,81.4,83.4,17,6.3,,,,,,
Wilson County,  (-86.29778738939933 36.15428192237663),93.6,6.4,6.4,0.2,0,52.2,41.2,93.6,100,10.1,6.5,,,,,,
Woodbury County,  (-96.04432637281965 42.38966116235329),91.4,8.6,8.6,0,45.4,46.1,0,91.4,94.4,15.2,4.5,,,,,,
Polk County,  (-123.41325245005251 44.90338514260839),96.2,3.8,3.6,6.6,0,89.3,0.4,96.4,99,14.1,7.6,,,,,,
Dauphin County,  (-76.77925448443797 40.41555232418502),98.2,1.8,1.8,0,0,98.1,0,98.2,98.2,13.4,6.9,,,,,,
Washington County,  (-123.09857277676923 45.55989123525243),89.4,10.6,10.6,0.2,0,87,2.1,89.4,91.6,12.5,6.3,,,,,,
Hampton city,  (-76.36333533323797 37.055732413991706),97.7,2.3,2.3,0,0,97.7,0,97.7,100,15.2,7,,,,,,
Caroline County,  (-77.34662195268015 38.02701807110241),63.5,36.5,36.5,0,18.4,45.2,0,63.5,100,11,6.7,,,,,,
Kane County,  (-88.42861217339149 41.93895002824172),97.8,2.2,2.2,1,0.2,96.6,0,97.8,100,10.7,8.9,,,,,,
Clinton County,  (-77.63798758548874 41.234020923983735),90.5,9.5,9.4,0.9,0,89.7,0,90.6,90.5,17.4,8.6,,,,,,
Harding County,  (-103.82032195874531 35.85799759249092),0,100,100,0,0,0,0,0,100,14.8,4.2,,,,,,
Baxter County,  (-92.33686558265461 36.28715061578824),68.3,31.7,29.8,1.9,0,44.2,24.1,70.2,100,14.9,8.1,,,,,,
Charles County,  (-76.99219990437462 38.50706766150207),91.4,8.6,8.6,0,0,91.4,0,91.4,100,7.2,6.2,,,,,,
Montgomery County,  (-86.89342256260916 40.04037231403487),61,39,39,4.7,0,56.2,0,61,100,12.3,7.2,,,,,,
Philadelphia County,  (-75.13324283864691 40.00806440719425),99.2,0.8,0.8,0,0,99.2,0,99.2,99.2,25.8,10,,,,,,
Henrico County,  (-77.40505651544746 37.53796420553971),99.1,0.9,0.9,0,0,99.1,0,99.1,100,11,5.4,,,,,,
Caldwell County,  (-81.54696660306811 35.952885191673445),98.6,1.4,1.4,0,0,98.6,0.1,98.6,100,18.8,9.1,,,,,,
Albemarle County,  (-78.55661903342335 38.02273165368509),72.9,27.1,16.5,10.7,0.1,72.7,0,83.5,100,9.1,4.6,,,,,,
Chouteau County,  (-110.43568329368932 47.880281521126335),69.1,30.9,30.9,0.3,24,44.8,0,69.1,100,19.4,4,,,,,,
Marshall County,  (-86.3061562267262 34.366908674989915),94.5,5.5,5.5,0,0,94.5,0,94.5,100,22,6.1,,,,,,
Attala County,  (-89.58086337364064 33.086764271313534),49.6,50.4,50.4,2.3,47.3,0,0,49.6,100,23.6,10.5,,,,,,
Wicomico County,  (-75.62218411361091 38.37287229244252),87.3,12.7,12.7,0,0,87.3,0,87.3,100,16.9,8.1,,,,,,
Macomb County,  (-82.93255517051726 42.69584066903158),97.7,2.3,2.3,0,0.5,97.2,0,97.7,97.9,12.3,9.1,,,,,,
Parke County,  (-87.20678146785094 39.77360728331706),20.3,79.7,79.7,11.9,8,0.4,0,20.3,100,17.5,8.6,,,,,,
Aleutians East Borough,,,,,,,,,,,,,,,,,,
 ((-166.197111 53.984798999999995, -166.075283 53.969570999999995, -166.152377 53.955293999999995, -166.190449 53.960052999999995,0,0,0,0,0,100,100,0,3360,13.4,28.6,19,22,6,1
Itawamba County,  (-88.36140611191642 34.27995112535668),13.3,86.7,86.7,0,2.1,11.2,0,13.3,100,17.2,8.8,,,,,,
Huron County,  (-83.03116795783178 43.83293285932911),69.7,30.3,30.2,0.1,0,36.5,33.2,69.8,69.7,14.1,9,,,,,,
DeSoto County,  (-89.99140221748685 34.875693799441144),91.6,8.4,8.4,0.2,0,91.4,0,91.6,100,10.1,6.3,,,,,,
Dutchess County,  (-73.74303602772132 41.76513374895222),99.9,0.1,0.1,0,8.7,91.2,0,99.9,99.9,10.2,6.8,,,,,,
Marshall County,  (-97.59865421369136 45.758633246791085),79.8,20.2,20.2,0.2,0,79.7,0,79.8,94,12,5.1,,,,,,
Somerset County,  (-74.61645903785931 40.5637570714766),99.5,0.5,0.4,0,0,99.5,0,99.6,99.5,5,6.3,,,,,,
Ohio County,  (-84.96502467801967 38.94996711342436),58,42,33.3,9.5,0.9,56.3,0,66.7,100,11.1,7.9,,,,,,
Shelby County,  (-89.89620222884095 35.18412714948165),97.3,2.7,2.7,0,0,97.3,0,97.3,100,23,9.7,,,,,,
Ontonagon County,  (-89.31491201428967 46.66430807613662),95.9,4.1,4.1,25.1,0,70.8,0,95.9,95.9,17.8,14.5,,,,,,
Denton County,  (-97.11685878026388 33.20528166960504),100,0,0,0,24.9,72.5,2.6,100,100,8.7,5.5,,,,,,
Montcalm County,  (-85.15230226000389 43.31058414425472),83,17,17,0.3,15.5,67,0.1,83,93.2,20.4,11,,,,,,
Mobile County,  (-88.20659056648027 30.779098542051),89.5,10.5,10.3,0.2,0,89.4,0,89.7,100,19.6,7.5,,,,,,
Merced County,  (-120.71750578878833 37.19189196524208),82.8,17.2,17.2,0.1,0,82.7,0,82.8,82.8,24.8,14.7,,,,,,
Yancey County,  (-82.30812843900945 35.898423495584595),86.2,13.8,13.8,0,0,86.2,0,86.2,100,20.6,9.8,,,,,,
Henry County,  (-84.15307774638737 33.4527890548921),99.4,0.6,0.6,0,0,99.4,0,99.4,100,13.7,8.1,,,,,,
Turner County,  (-83.62479675312223 31.716498096679583),91.2,8.8,8.8,27.9,0,63.3,0,91.2,100,31.7,8,,,,,,
Tippecanoe County,  (-86.89407624189572 40.38871166870635),86.3,13.7,13.7,1.9,0.5,83.9,0,86.3,100,22.1,6.8,,,,,,
Hawkins County,  (-82.94554982282659 36.4410473958087),72.4,27.6,27,0.6,0,72.4,0,73,100,19.6,8,,,,,,
Sebastian County,  (-94.27397371158776 35.19943144657452),94,6,4.4,1.7,0,90.7,3.2,95.6,100,22.1,7.6,,,,,,
Madison County,  (-89.90510950987333 38.83016797839593),93.1,6.9,6.9,0,0.3,89.5,3.2,93.1,100,13.1,8.4,,,,,,
Juneau City and Borough,  (-134.1764399003435 58.450918655134124),99.5,0.5,0.5,0,0,99.1,0.4,99.5,99.5,7.9,4.6,,,,,,
Mills County,  (-95.62136124889454 41.033488478359274),55,45,44.5,2.1,0.4,52.2,0.9,55.5,74.9,9.7,3.7,,,,,,
Anderson County,  (-84.19904346475184 36.118629025001255),96.4,3.6,3.6,0,0,96.3,0,96.4,100,15.6,7.9,,,,,,
Tipton County,  (-86.05195095629576 40.311211168805094),71.6,28.4,28.4,3.8,6.5,61.3,0,71.6,100,9.5,7.7,,,,,,
Gulf County,  (-85.2305601147807 29.950687474600358),73.6,26.4,26.4,0,0.2,73.4,0,73.6,73.6,23.1,7,,,,,,
Passaic County,  (-74.30115632965693 41.03446344216741),100,0,0,0,0,99.9,0.1,100,100,18.2,9.9,,,,,,
Columbia County,  (-89.33408258748248 43.46699039644988),58.8,41.2,37.2,4.6,1.1,57.1,0,62.8,100,8.8,6.2,,,,,,
St. Mary Parish,  (-91.44469374798395 29.705007644123995),89,11,11,0,31.5,57.5,0,89,100,21.8,6.6,,,,,,
Jefferson County,  (-83.44652522496277 36.051340896512734),69.5,30.5,30.5,0.2,0,69.3,0,69.5,100,17.8,9.8,,,,,,
Henry County,  (-79.87418576022986 36.682674279118864),95.7,4.3,3.7,0.7,0,95.7,0,96.3,100,20.5,9.1,,,,,,
Washington County,  (-94.21571712392623 35.978996679710804),93.1,6.9,6.8,2.2,3.2,87.7,0,93.2,100,19.3,5.6,,,,,,
Lac qui Parle County,  (-96.17380579878984 44.995834428429724),73.9,26.1,26.1,0.2,0,73.7,0,73.9,98.1,10.4,5,,,,,,
Monroe County,  (-87.36529614991251 31.571071753149603),52.8,47.2,47.2,0,0,52.8,0,52.8,100,25.3,11.4,,,,,,
Comanche County,  (-98.47164344433224 34.662009895374524),70.4,29.6,29.1,4.3,0.7,65.8,0.1,70.9,73.5,18.6,6.7,,,,,,
Rock County,  (-89.07128020070317 42.67118649096653),90.6,9.4,9.4,0.1,0,90.5,0,90.6,100,14.9,7.9,,,,,,
DeKalb County,  (-85.80378573554755 34.46023768532015),84.1,15.9,15.9,0.4,35.6,48,0,84.1,100,24,7,,,,,,
Danville city,  (-79.40912354210371 36.58309677189009),98.5,1.5,1.5,0,0,98.5,0,98.5,100,23.6,9.5,,,,,,
Orange County,  (-78.01298345290495 38.24635825857431),80.1,19.9,19.9,10,0,70.1,0,80.1,100,10.7,6,,,,,,
Stanley County,  (-100.73608669956211 44.41245198266852),87.3,12.7,12.7,7.3,0,80,0,87.3,87.3,8.8,2.7,,,,,,
Bedford County,  (-79.52391813945133 37.3150269611254),62.9,37.1,37.1,0,0,62.9,0,62.9,100,9.4,5.6,,,,,,
Leake County,  (-89.52402040590405 32.75368280478259),26.9,73.1,73.1,1,25.9,0,0,26.9,100,27.1,9.8,,,,,,
Vernon County,  (-94.34168568818492 37.84998285425052),53.5,46.5,46.5,0,0,53.5,0,53.5,53.5,17.5,5.5,,,,,,
Washington County,  (-76.57653422947317 35.822681314687465),81,19,18,1.1,0.5,80.4,0,82,100,26.8,9.8,,,,,,
Centre County,  (-77.81986792369923 40.91933775105913),84.6,15.4,14.3,1.5,0.2,84,0,85.7,84.6,17.9,5.6,,,,,,
Prince George's County,  (-76.84739072226097 38.82996769522256),96.7,3.3,3.3,0,0,96.7,0,96.7,100,10.3,6.8,,,,,,
Sevier County,  (-83.5237697330783 35.78475750857062),91.7,8.3,8.3,0,0,91.6,0,91.7,100,17.7,8.7,,,,,,
Fayette County,  (-84.49428462690966 33.413035355587795),97.6,2.4,2.4,0.5,0,97.1,0,97.6,100,6.9,7.2,,,,,,
Mendocino County,  (-123.39147433422137 39.44027920930632),69.7,30.3,30.3,0,0,69.7,0,69.7,69.7,18.8,7.7,,,,,,
Essex County,  (-70.9515843977842 42.67174523894181),99.1,0.9,0.9,0,0,99.1,0,99.1,100,10.7,7.5,,,,,,
Lincoln County,  (-82.45118300285641 33.79324552344354),100,0,0,0,0,100,0,100,100,17.9,9.7,,,,,,
West Baton Rouge Parish,  (-91.31250949792273 30.462643384406153),89,11,11,0.1,0,88.9,0,89,100,20.5,6,,,,,,
Mississippi County,  (-89.29117000964303 36.82805483606663),90.9,9.1,9.1,1.8,0,89.1,0,90.9,90.9,32.2,8.2,,,,,,
Hillsborough County,  (-82.308672936202 27.92948052003229),97.2,2.8,2.8,0.3,0,96.9,0,97.2,97.2,16.8,7,,,,,,
Grady County,  (-84.23475065384366 30.874768532655057),91.2,8.8,8.8,30.1,0,61.2,0,91.2,100,26.2,6.9,,,,,,
Plymouth County,  (-70.81296132008416 41.953317765421026),97.8,2.2,2.2,0,0,97.8,0,97.8,100,8.5,7.2,,,,,,
Providence County,  (-71.58004040916606 41.872122896902326),98.7,1.3,1.3,0,0,98.7,0,98.7,100,18.3,10.2,,,,,,
Screven County,  (-81.61169116657094 32.7510781653931),100,0,0,7.4,0,92.6,0,100,100,26.2,10.6,,,,,,
McLeod County,  (-94.27237287719461 44.82372141667527),61.5,38.5,13.4,26.6,0.7,59.3,0,86.6,71.8,7.9,5.7,,,,,,
Buffalo County,  (-99.20485567162312 44.07640554981815),20.7,79.3,79.3,0,17.4,3.3,0,20.7,87.4,40.7,12.7,,,,,,
Paulding County,  (-84.86736714077233 33.92082845601608),97.1,2.9,2.9,0,0,97.1,0,97.1,100,10.7,7.4,,,,,,
Saluda County,  (-81.72732001708052 34.006312129942074),10.5,89.5,64.7,24.8,9.8,0.7,0,35.3,100,20.6,6.3,,,,,,
Donley County,  (-100.81400932018292 34.96517499033252),47.2,52.8,52.8,46.2,0,0,1,47.2,99.7,19.4,4.8,,,,,,
Wise County,  (-97.65458625299242 33.215766000941954),71.3,28.7,19.1,10.7,70.2,0,0,80.9,91.2,10,5.9,,,,,,
Titus County,  (-94.96656946150884 33.21673923558887),56.2,43.8,43.6,0.1,0.4,35.8,20,56.4,56.5,20.6,7.1,,,,,,
Austin County,  (-96.27800560728254 29.887078037190456),11.5,88.5,88.5,8.3,3.1,0,0,11.5,32.6,11.2,5.8,,,,,,
Okaloosa County,  (-86.59219665950046 30.691015536802663),91.9,8.1,6.8,1.2,0,91.9,0,93.2,91.9,12.4,5.2,,,,,,
Lee County,  (-90.78211015015053 34.78064921444829),47.7,52.3,52.2,0.1,47.7,0,0,47.8,100,39.3,11.2,,,,,,
Hamblen County,  (-83.26632470596535 36.21714350416388),98.2,1.8,1.8,0,0,98.2,0,98.2,100,23.4,8.9,,,,,,
Mercer County,  (-74.70164497187275 40.28339138786918),97.8,2.2,2.2,0,0,97.8,0,97.8,97.8,11.8,6.7,,,,,,
Scott County,  (-82.60311477646131 36.71430810432384),75.5,24.5,23.9,32.2,12.6,0.5,30.7,76.1,100,20.8,7.4,,,,,,
Assumption Parish,  (-91.06263132446274 29.900816747804907),95.8,4.2,4.2,0,23.1,72.7,0,95.8,100,17.8,7.1,,,,,,
Bates County,  (-94.34015624893199 38.25742351589274),38.6,61.4,60.7,0.6,0,38.6,0,39.3,38.6,18.4,7.3,,,,,,
